Story;I wycena;Ważność;Planning Poker;
chcę mieć możliwość wyświetlenia dostępnych reklam, dzięki czemu mogę wybrać, które reklamy emitować; 8; 10; 5;
chcę mieć możliwość dodania reklamy do serwisu, aby mogła być zaprezentowana przez reklamobiorcę; 20; 9; 13;
chcę widzieć ceny za daną reklamę, aby znać zysk z emisji danej reklamy; 8; 8; 5;
chcę mieć możliwość zapłaty za emisję moich reklam, aby rozliczyć się z reklamobiorcami; 12; 7; 13;
chcę mieć możliwość sprawdzenia szczegółów dotyczących reklamy, dzięki czemu mogę dostosować reklamę do naszych odbiorców; 10; 6; 8;
chcę mieć możliwość opisania swojej reklamy, dzięki czemu reklamobiorca może poznać szczegóły bez potrzeby dodatkowego kontaktu; 8; 5; 5;
chcę mieć możliwość rozplanowania emisji reklam, aby dostosować reklamy do odpowiedniego dla nich czasu emisji; 16; 4; 13;
chcę mieć możliwość ustalenia grupy docelowej dla danej reklamy, aby reklama trafiła do najodpowiedniejszej grupy odbiorców; 8; 3; 5;
chcę mieć możliwość wyboru formatu reklamy, aby dostosować je do danego medium; 8; 2; 5;
chcę mieć możliwość sprawdzenia zasięgu reklamy dla nośników dla których jest to osiągalne, aby znać liczbę odbiorców; 12; 1; 8;
